,smooth_trend,original_trend,buy_hold
0,10000.0,10000.0,10000.0
1,10000.0,10000.0,10038.263199882638
2,10000.0,10000.0,10084.97657362341
3,10000.0,10000.0,10106.911117730979
4,10000.0,10000.0,10280.530652964328
5,10000.0,10000.0,10436.81516561703
6,10000.0,10000.0,10725.692048450184
7,10000.0,10000.0,10738.248009886018
8,10000.0,10000.0,10733.15947913667
9,10000.0,10000.0,10674.296470463725
10,10000.0,10000.0,10639.96424326768
11,10000.0,10000.0,10618.093482971732
12,10000.0,10000.0,10692.692194208006
13,10000.0,10000.0,10633.415771941218
14,10000.0,10000.0,10324.208389744603
15,10000.0,10000.0,10158.164953913834
16,10000.0,10000.0,10062.881388805092
17,10000.0,10000.0,10121.60029331104
18,10000.0,10000.0,10182.447687234428
19,10000.0,10000.0,10102.19347803439
20,10000.0,10000.0,10199.815782902584
21,10000.0,10000.0,10406.470607829015
22,10000.0,10000.0,10384.117925400818
23,10000.0,10000.0,10430.094241762852
24,10000.0,10000.0,10268.06209897405
25,10000.0,10000.0,10341.829258295853
26,10000.0,10000.0,10340.381129535708
27,10000.0,10000.0,10276.283123583025
28,10000.0,10000.0,10299.90439515347
29,10000.0,10000.0,10428.679186090216
30,10000.0,10000.0,10378.122247108407
31,10000.0,10000.0,10312.472168406273
32,10000.0,10000.0,10316.90396213226
33,10000.0,10000.0,10363.019657934505
34,10000.0,10000.0,10372.277760073177
35,10000.0,10000.0,10386.914963658583
36,10000.0,10000.0,10380.32160742765
37,10000.0,10000.0,10413.297838035893
38,10000.0,10000.0,10408.832971222397
39,10000.0,10000.0,10405.63669355115
40,10000.0,10000.0,10452.222499668678
41,10000.0,10000.0,10377.630875522584
42,10000.0,10000.0,10280.58026259559
43,10000.0,10000.0,10388.386716052662
44,10000.0,10000.0,10544.642880344642
45,10000.0,10000.0,10621.90397512526
46,10000.0,10565.946420136932,11098.229668496633
47,10000.0,10565.946420136932,11091.541817729963
48,10000.0,10565.946420136932,11085.853246678695
49,10000.0,10565.946420136932,11061.887070052817
50,10000.0,10565.946420136932,11012.390832234638
51,10000.0,10565.946420136932,11071.946013381843
52,10000.0,10565.946420136932,11073.817005189403
53,10148.7993956783,10565.946420136932,10892.857606892809
54,10148.7993956783,10565.946420136932,10894.534884902112
55,10148.7993956783,10565.946420136932,10809.697690718913
56,10148.7993956783,10565.946420136932,10752.507235328483
57,10148.7993956783,10565.946420136932,10759.714806041698
58,10148.7993956783,10565.946420136932,10982.433702043138
59,10148.7993956783,10565.946420136932,11021.367813129496
60,10148.7993956783,10565.946420136932,10985.50004972775
61,10148.7993956783,10565.946420136932,10890.8259743745
62,10148.7993956783,10565.946420136932,11117.282129264273
63,10148.7993956783,10565.946420136932,11052.028927612226
64,10148.7993956783,10565.946420136932,11030.41802728955
65,10148.7993956783,10565.946420136932,10946.993526415594
66,10148.7993956783,10565.946420136932,10865.454191529558
67,10148.7993956783,10565.946420136932,10868.806385184771
68,10148.7993956783,10565.946420136932,10856.087420674792
69,10148.7993956783,10565.946420136932,10503.542482026549
70,10148.7993956783,10565.946420136932,10269.796073704792
71,10148.7993956783,10565.946420136932,10106.83552210239
72,10148.7993956783,10565.946420136932,10066.016245028111
73,10148.7993956783,10565.946420136932,10182.487847412114
74,10148.7993956783,10565.946420136932,10069.33772795921
75,10148.7993956783,10565.946420136932,10194.656381251434
76,10148.7993956783,10565.946420136932,10107.667074016861
77,10148.7993956783,10565.946420136932,10122.252305607613
78,10148.7993956783,10565.946420136932,10082.996913099752
79,10148.7993956783,10565.946420136932,10160.865135272472
80,10148.7993956783,10565.946420136932,10118.000051499523
81,10148.7993956783,10565.946420136932,10135.573672782904
82,10148.7993956783,10565.946420136932,10077.842236175391
83,10148.7993956783,10565.946420136932,9858.69759598814
84,10148.7993956783,10565.946420136932,10055.63365791419
85,10148.7993956783,10565.946420136932,10090.783262844347
86,10148.7993956783,10565.946420136932,10086.816854706854
87,10148.7993956783,10565.946420136932,9987.833828524073
88,10148.7993956783,10565.946420136932,10156.430979183091
89,10148.7993956783,10565.946420136932,10042.666645247906
90,10148.7993956783,10565.946420136932,10140.340922110754
91,10148.7993956783,10565.946420136932,10108.819907352832
92,10148.7993956783,10565.946420136932,10134.666525239845
93,10148.7993956783,10565.946420136932,10217.85242741107
94,10148.7993956783,10565.946420136932,10197.40380987794
95,10148.7993956783,10565.946420136932,10190.75139456217
96,10148.7993956783,10565.946420136932,10122.490904310345
97,10148.7993956783,10565.946420136932,10076.883116637679
98,10148.7993956783,10565.946420136932,10082.604760776452
99,10148.7993956783,10565.946420136932,10035.978794481238
100,10148.7993956783,10565.946420136932,10066.292641545138
101,10148.7993956783,10565.946420136932,10105.269275172577
102,10148.7993956783,10565.946420136932,10061.789976917347
103,10148.7993956783,10565.946420136932,10138.16046069866
104,10148.7993956783,10565.946420136932,10050.578200252347
105,10148.7993956783,10565.946420136932,10068.232141891105
106,10148.7993956783,10565.946420136932,9690.962707967708
107,10148.7993956783,10565.946420136932,9763.057314006997
108,10148.7993956783,10565.946420136932,9698.888437152513
109,10148.7993956783,10565.946420136932,9752.84009233061
110,10148.7993956783,10565.946420136932,9797.989581504964
111,10148.7993956783,10565.946420136932,9660.816588704738
112,10148.7993956783,10565.946420136932,9878.05007690674
113,10148.7993956783,10565.946420136932,9841.37674758785
114,10148.7993956783,10565.946420136932,9835.61730563478
115,10148.7993956783,10565.946420136932,9839.467957965995
116,10148.7993956783,10565.946420136932,9822.90306585159
117,10148.7993956783,10565.946420136932,9820.370612293882
118,10148.7993956783,10565.946420136932,9835.218066221298
