entry,exit,pnl,reason,type,pnl_pct,entry_time,exit_time,scales,scale_prices
43500.01,46110.0,148.79939567829973,SL,long,5.999975632189505,2024-01-05 12:00:00,2024-01-09 20:00:00,1,[np.float64(43500.01)]
42015.65,42190.16,-10.453833551780836,Trend Change,short,-0.4153452344543093,2024-02-01 00:00:00,2024-02-01 04:00:00,1,[np.float64(42015.65)]
42851.11,44349.6,109.9057860305414,TP,long,3.496968923325435,2024-02-06 00:00:00,2024-02-07 20:00:00,1,[np.float64(42851.11)]
50911.11,54487.11,178.5198007195363,TP,long,7.024007137145507,2024-02-23 12:00:00,2024-02-26 16:00:00,1,[np.float64(50911.11)]
69594.94,68237.15,-63.0618164977555,SL,long,-1.950989540331536,2024-04-01 04:00:00,2024-04-01 12:00:00,1,[np.float64(69594.94)]
69649.8,66703.97,-108.70629942835716,SL,long,-4.229488096161082,2024-04-01 20:00:00,2024-04-02 00:00:00,1,[np.float64(69649.8)]
69264.0,68657.32,-22.27612178805038,SL,long,-0.8758951258951159,2024-04-09 12:00:00,2024-04-10 12:00:00,1,[np.float64(69264.0)]
68657.32,69347.3,25.503085100214015,SL,long,1.0049620346381067,2024-04-10 12:00:00,2024-04-12 12:00:00,1,[np.float64(68657.32)]
64747.11,64021.62,28.505926109090655,SL,short,1.1204978878593932,2024-04-25 16:00:00,2024-04-28 00:00:00,1,[np.float64(64747.11)]
62312.08,62893.99,-23.823899252691454,SL,short,-0.9338638671666812,2024-05-07 20:00:00,2024-05-08 00:00:00,1,[np.float64(62312.08)]
62273.08,63074.01,-32.73531329132639,SL,short,-1.2861576784061433,2024-05-08 12:00:00,2024-05-09 20:00:00,1,[np.float64(62273.08)]
67199.98,68507.67,49.370835316547854,SL,long,1.945967841061861,2024-05-23 16:00:00,2024-05-26 20:00:00,1,[np.float64(67199.98)]
68434.26,70373.85,90.31753047606286,TP,long,2.8342382894182108,2024-05-27 08:00:00,2024-05-27 12:00:00,1,[np.float64(68434.26)]
68050.3,67694.0,-13.465130436721092,SL,long,-0.5235832905953433,2024-05-28 00:00:00,2024-05-28 04:00:00,1,[np.float64(68050.3)]
67720.07949378848,67266.78,-27.507318246600352,SL,long,-0.6693723592425165,2024-05-28 04:00:00,2024-05-29 16:00:00,2,"[np.float64(67694.0), np.float64(67763.59)]"
