timestamp,open,high,low,close,volume,returns
2024-01-01 00:00:00,42283.58,42775.0,42230.08,42330.49,3948.08335,0.0
2024-01-01 04:00:00,42330.5,42500.0,42180.77,42492.46,2706.9988,0.003826319988263771
2024-01-01 08:00:00,42492.46,42762.39,42452.58,42690.2,2948.80274,0.004653531473583827
2024-01-01 12:00:00,42690.21,42847.07,42580.0,42783.05,2936.44406,0.002174972241872908
2024-01-01 16:00:00,42783.05,43550.0,42664.42,43517.99,5686.97164,0.017178298414909587
2024-01-01 20:00:00,43517.98,44184.1,43361.6,44179.55,8946.99844,0.015201988878622563
2024-01-02 00:00:00,44179.55,45500.0,44148.34,45402.38,17093.28659,0.02767864317314217
2024-01-02 04:00:00,45402.38,45643.75,45121.96,45455.53,8388.42302,0.001170643477280242
2024-01-02 08:00:00,45455.52,45879.63,45200.0,45433.99,10027.39458,-0.0004738697359815136
2024-01-02 12:00:00,45433.99,45800.0,44833.33,45184.82,13236.12915,-0.005484220074001844
2024-01-02 16:00:00,45184.83,45399.84,44790.96,45039.49,9745.60445,-0.003216345666531395
2024-01-02 20:00:00,45039.49,45297.26,44600.0,44946.91,6655.56882,-0.0020555294920079348
2024-01-03 00:00:00,44946.91,45410.91,44862.11,45262.69,4750.68596,0.007025622006051169
2024-01-03 04:00:00,45262.7,45384.84,44940.93,45011.77,4691.11517,-0.005543638701102527
2024-01-03 08:00:00,45011.77,45500.0,43500.0,43702.88,13237.52778,-0.029078838712630062
2024-01-03 12:00:00,43702.89,43716.0,40750.0,43000.01,35484.1521,-0.016082921766254255
2024-01-03 16:00:00,43000.01,43567.92,42000.0,42596.67,16895.34192,-0.009379997818605212
2024-01-03 20:00:00,42596.66,42966.27,42518.7,42845.23,6135.7288,0.005835197915705637
2024-01-04 00:00:00,42845.23,43220.56,42613.77,43102.8,5488.13855,0.006011637701559769
2024-01-04 04:00:00,43102.79,43273.08,42756.97,42763.08,5443.39629,-0.007881622539603006
2024-01-04 08:00:00,42763.08,43233.81,42616.28,43176.32,6746.40949,0.009663476063931808
2024-01-04 12:00:00,43176.33,44329.99,43097.06,44051.1,11599.01023,0.020260642870906898
2024-01-04 16:00:00,44051.1,44437.5,43777.86,43956.48,9399.52176,-0.0021479599828380103
2024-01-04 20:00:00,43956.48,44729.58,43890.9,44151.1,9361.58702,0.004427561078593989
2024-01-05 00:00:00,44151.1,44284.0,42450.0,43465.21,11721.50264,-0.01553506028162377
2024-01-05 04:00:00,43465.21,43926.0,43187.89,43777.47,4949.61031,0.007184136462241808
2024-01-05 08:00:00,43777.48,44324.8,43433.0,43771.34,7055.63723,-0.00014002636516008415
2024-01-05 12:00:00,43771.34,44110.07,43100.0,43500.01,10044.2804,-0.006198804971472072
2024-01-05 16:00:00,43500.01,43808.07,43100.46,43600.0,7460.07613,0.0022986201612367196
2024-01-05 20:00:00,43600.0,44357.46,43580.51,44145.11,6844.14656,0.012502522935779803
2024-01-06 00:00:00,44145.12,44214.42,43812.5,43931.1,3123.46193,-0.004847875563114501
2024-01-06 04:00:00,43931.1,43971.1,43397.05,43653.2,4242.79756,-0.006325814741720559
2024-01-06 08:00:00,43653.2,43771.1,43551.28,43671.96,2449.54997,0.00042975085446195216
2024-01-06 12:00:00,43671.97,43920.08,43527.27,43867.17,2610.13838,0.004469916165887655
2024-01-06 16:00:00,43867.17,44148.58,43828.5,43906.36,2971.24432,0.0008933788069758197
2024-01-06 20:00:00,43906.35,43980.0,43611.19,43968.32,2437.86928,0.0014111850766038714
2024-01-07 00:00:00,43968.32,44259.29,43833.4,43940.41,3397.43777,-0.0006347752199764578
2024-01-07 04:00:00,43940.41,44100.0,43843.52,44080.0,2347.11787,0.0031768024012519547
2024-01-07 08:00:00,44080.0,44167.81,43880.65,44061.1,3023.73501,-0.00042876588021778517
2024-01-07 12:00:00,44061.1,44480.59,43945.15,44047.57,5972.98911,-0.00030707358645154503
2024-01-07 16:00:00,44047.57,44262.53,43700.0,44244.77,3590.89146,0.004476977958148387
2024-01-07 20:00:00,44244.77,44269.92,43572.09,43929.02,4691.67958,-0.007136436690709402
2024-01-08 00:00:00,43929.01,43986.0,43175.0,43518.2,7371.99098,-0.009351904504129593
2024-01-08 04:00:00,43518.2,44341.8,43430.79,43974.55,7157.43221,0.01048641717718124
2024-01-08 08:00:00,43974.55,44688.0,43641.73,44635.99,6636.26767,0.015041427371058846
2024-01-08 12:00:00,44636.0,45333.0,44350.0,44963.04,17212.53878,0.00732704707568943
