entry,exit,pnl,reason,type,pnl_pct,entry_time,exit_time
68076.0,67199.98,-102.15528065965195,SL,long,-1.2868264880427815,2024-05-23 12:00:00,2024-05-23 16:00:00
67969.65,67155.93,-94.18267666508545,SL,long,-1.1971813890464365,2024-05-23 20:00:00,2024-05-24 04:00:00
68434.26,70373.85,221.10195990632909,TP,long,2.8342382894182108,2024-05-27 08:00:00,2024-05-27 12:00:00
68050.3,67379.13,-78.46764594662669,SL,long,-0.9862851449589469,2024-05-28 00:00:00,2024-05-29 12:00:00
67584.56,69615.28,237.40065976694467,TP,long,3.004709951503718,2024-05-30 04:00:00,2024-06-03 12:00:00
68955.85,70947.58,233.01210364851786,TP,long,2.888413383346004,2024-06-04 08:00:00,2024-06-05 00:00:00
69255.0,68464.0,-94.00216239526637,SL,long,-1.1421558010251969,2024-06-07 16:00:00,2024-06-11 00:00:00
66691.99,65500.0,145.92350454320777,TP,short,1.7873060917810446,2024-06-17 16:00:00,2024-06-18 00:00:00
62772.01,63437.69,-87.66487153132148,SL,short,-1.060472653337053,2024-06-30 20:00:00,2024-07-01 00:00:00
62662.09,63132.9,-61.649704902301394,SL,short,-0.7513474255327343,2024-07-01 08:00:00,2024-07-01 12:00:00
62832.01,60987.99,239.5436724091532,TP,short,2.934841651572191,2024-07-02 08:00:00,2024-07-03 00:00:00
58214.0,58830.63,-88.23256920178223,SL,short,-1.0592469165492793,2024-07-12 12:00:00,2024-07-13 12:00:00
65536.01,64093.59,-181.9748131998465,SL,long,-2.200957916113597,2024-07-23 16:00:00,2024-07-25 00:00:00
64790.88,67042.01,282.8414887065588,TP,long,3.4744550467596635,2024-07-25 12:00:00,2024-07-26 00:00:00
67303.05,66574.01,-90.32525241871696,SL,long,-1.0832198540779476,2024-07-29 16:00:00,2024-07-30 08:00:00
66216.01,65256.83,-119.87374574165148,SL,long,-1.4485620622565345,2024-07-30 12:00:00,2024-07-31 16:00:00
59428.03,61685.99,-311.2330315947811,SL,short,-3.7994865385913,2024-08-08 12:00:00,2024-08-08 20:00:00
59810.23,60837.99,-137.01558112186936,SL,short,-1.718368245699765,2024-08-09 12:00:00,2024-08-09 20:00:00
59851.7,60820.15,-127.46730800130868,SL,short,-1.6180826943929818,2024-08-12 08:00:00,2024-08-13 16:00:00
59435.69,60619.18,-155.0844462669292,SL,short,-1.9912110047010438,2024-08-14 12:00:00,2024-08-20 00:00:00
58825.53,59511.99,-89.61988034812148,SL,short,-1.1669423122919576,2024-08-20 12:00:00,2024-08-20 16:00:00
59511.99,61570.0,-263.41216962217584,SL,short,-3.4581434766338717,2024-08-20 16:00:00,2024-08-21 16:00:00
62417.0,61709.13,-84.29486897148102,SL,long,-1.1340980822532365,2024-08-27 08:00:00,2024-08-27 12:00:00
61709.13,59415.0,-274.130676963323,SL,long,-3.7176508565264124,2024-08-27 12:00:00,2024-08-27 20:00:00
60779.99,58094.99,317.2642642775799,TP,short,4.417572296408736,2024-08-29 12:00:00,2024-08-30 12:00:00
59132.13,57487.73,205.89588548214238,TP,short,2.7808908625479822,2024-09-02 20:00:00,2024-09-03 20:00:00
56596.0,57952.01,-180.8480057650775,SL,short,-2.3959467100148455,2024-09-10 12:00:00,2024-09-10 16:00:00
56819.55,57585.5,-100.0445886450955,SL,short,-1.3480395392078908,2024-09-11 00:00:00,2024-09-11 16:00:00
58575.09,57881.69,-87.02504650696926,SL,long,-1.1837796578716213,2024-09-16 00:00:00,2024-09-16 12:00:00
57881.69,58695.39,-102.49029617347226,SL,short,-1.4057986212911147,2024-09-16 12:00:00,2024-09-17 04:00:00
64553.68,63819.44,-82.10730345469746,SL,long,-1.1374099818941352,2024-09-30 00:00:00,2024-09-30 08:00:00
63819.44,63488.0,-37.19161610867967,SL,long,-0.5193401885068285,2024-09-30 08:00:00,2024-09-30 16:00:00
63723.48,62628.85,-122.56861474735429,SL,long,-1.7177812636723615,2024-10-01 00:00:00,2024-10-01 12:00:00
62720.01,62224.0,-55.74962089317467,SL,long,-0.7908321443188577,2024-10-06 12:00:00,2024-10-07 20:00:00
62224.0,62160.49,-7.155350866779543,Trend Change,long,-0.10206672666495571,2024-10-07 20:00:00,2024-10-08 20:00:00
62316.0,61031.98,-144.34726757313342,SL,long,-2.0604981064253107,2024-10-09 12:00:00,2024-10-09 16:00:00
62259.05,64299.99,226.33641927261934,TP,long,3.278141892624438,2024-10-11 12:00:00,2024-10-14 00:00:00
